,sum.w,(Intercept),z$religious_,medinc,z$ACS5year_1,z$ACR_5yea_3,(Intercept)_se,z$religious__se,medinc_se,z$ACS5year_1_se,z$ACR_5yea_3_se,gwr.e,pred,pred.se,localR2,(Intercept)_se_EDF,z$religious__se_EDF,medinc_se_EDF,z$ACS5year_1_se_EDF,z$ACR_5yea_3_se_EDF,pred.se.1,X,Y
1,26.44406841,38.16379037,0.127068904,-0.212439446,0.465104547,0.878201132,8.798833609,0.112884828,0.073005123,0.157864887,0.336708299,-3.217079762,64.83268971,2.693860396,0.615409781,9.118282254,0.116983201,0.075655632,0.163596297,0.348932762,2.791663138,598473.7995,3792421.723
2,29.13917795,37.04263831,0.160928811,-0.153252155,0.462604108,0.435973128,8.380442148,0.131758843,0.070386644,0.163374742,0.350859763,-9.464812792,49.28570726,2.463492576,0.469175776,8.684700758,0.136542452,0.072942087,0.169306192,0.363598006,2.552931631,390398.1806,3982298.307
3,27.0363371,36.49166247,0.17794728,-0.143820008,0.438734149,0.480877445,8.660426478,0.137764872,0.073355143,0.174599037,0.373401441,4.304922968,49.3383188,2.179539572,0.437434604,8.974850142,0.142766535,0.07601836,0.180937994,0.386958077,2.258669487,387387.2504,3939007.348
4,24.78947688,38.03656856,0.17254311,-0.174651722,0.456490769,0.319303289,9.211299764,0.149103083,0.076643957,0.191633834,0.385519852,3.835706281,45.75778966,3.016808352,0.464164689,9.54572332,0.154516389,0.079426577,0.198591253,0.399516457,3.126335977,434704.9148,3985387.005
5,24.59749949,36.74478219,0.192816436,-0.156843843,0.435674224,0.420417249,9.185229942,0.149860251,0.077159566,0.194656886,0.40253016,-0.440417528,50.3704222,2.947305072,0.429140859,9.518707013,0.155301046,0.079960905,0.201724059,0.417144337,3.054309324,419224.3954,3930212.131
6,25.16177119,34.97886575,0.197269061,-0.118876672,0.411904828,0.594076085,8.858211886,0.141375728,0.07559501,0.182615639,0.39316752,0.475649743,57.89592939,2.920086104,0.402922875,9.179816306,0.146508486,0.078339547,0.189245645,0.407441779,3.02610215,384004.2859,3895857.07
7,26.95197217,33.64343798,0.210305822,-0.097263172,0.380219221,0.745186964,8.689600486,0.133518274,0.074191547,0.175416978,0.385504502,15.1614653,60.51818202,2.064793454,0.387906305,9.005083335,0.138365761,0.07688513,0.181785631,0.399500549,2.139757421,402803.0547,3858117.112
8,27.91943271,36.06128347,0.196495755,-0.142327787,0.4073085,0.543566653,8.684482777,0.138185851,0.072549654,0.175702955,0.375624256,8.260917176,58.33847737,4.204711436,0.424676987,8.999779825,0.143202798,0.075183627,0.18208199,0.389261593,4.357366826,434778.8608,3897151.491
9,26.19616814,35.99983302,0.204415432,-0.143641833,0.381852027,0.606058364,8.754644829,0.137749279,0.073173115,0.174816659,0.377420788,19.58428626,54.54186882,1.708235179,0.417306336,9.072489165,0.142750376,0.075829723,0.181163517,0.391123349,1.770254014,462479.7457,3873421.9
10,26.53677376,32.31816125,0.225741537,-0.081994306,0.341709623,0.940768293,8.868654737,0.128337169,0.075530776,0.174194033,0.395195646,-1.402263342,49.17129221,3.637863384,0.374424357,9.190638293,0.132996552,0.078272981,0.180518285,0.409543538,3.769938905,439476.9478,3822103.521
